anio,provincia,provincia_id,EAP_sin_limites
2002,Buenos Aires,6,9
2002,Catamarca,10,2444
2002,C�rdoba,14,606
2002,Corrientes,18,571
2002,Chaco,22,1204
2002,Chubut,26,156
2002,Entre R�os,30,0
2002,Formosa,34,968
2002,Jujuy,38,4922
2002,La Pampa,42,1
2002,La Rioja,46,2264
2002,Mendoza,50,2327
2002,Misiones,54,883
2002,Neuqu�n,58,3370
2002,R�o Negro,62,472
2002,Salta,66,4722
2002,San Juan,70,582
2002,San Luis,74,81
2002,Santa Cruz,78,3
2002,Santa Fe,82,69
2002,Santiago del Estero,86,10119
2002,Tierra del Fuego,94,0
2002,Tucum�n,90,335
